QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010130000000'	  	'19'	'000'	0.00		A			 - Asnos	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010130000000'	  	'1A'	'000'	0.00		A			 - Asnos	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010130000000'	  	'1B'	'000'	0.00		A			 - Asnos	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'02'	'000'	10.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'11'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'12'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'13'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'14'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'15'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'16'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'17'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Chile	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'18'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'19'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'1A'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	'1B'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010221000000'	  	'02'	'000'	0.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'02'	'000'	10.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'11'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'12'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'13'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'14'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'15'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'16'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'18'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'19'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'1A'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	'1B'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010231000000'	  	'02'	'000'	0.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'02'	'000'	10.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'11'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'12'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'13'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'14'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'15'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'16'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'18'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'19'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'1A'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	'1B'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290100000'	  	'02'	'000'	0.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'02'	'000'	10.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'11'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'12'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'13'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'14'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'15'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'16'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'18'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'19'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'1A'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	'1B'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010310000000'	  	'02'	'000'	0.00		A			 - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'02'	'000'	10.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'11'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'12'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'13'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'14'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'15'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'16'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'17'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Chile	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'18'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'19'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'1A'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	'1B'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'02'	'000'	10.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'11'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'12'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'13'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'14'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'15'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'16'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'17'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Chile	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'18'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'19'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'1A'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	'1B'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410100000'	  	'02'	'000'	0.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'02'	'000'	10.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'11'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'12'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'13'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA and Dominican Republic	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'14'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	China - Nicaragua free trade agreement	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'15'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	15- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'16'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for CAFTA, Dominican Republic and United States	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'17'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Chile	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'18'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for European Union	18- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'19'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Cuba	19- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'1A'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Central America - Republic of Korea FTA		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	'1B'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	United Kingdom - Central America		
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010420100000'	  	'02'	'000'	0.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010420900000'	  	'02'	'000'	10.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010420900000'	  	'11'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Mexico	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010420900000'	  	'12'	'000'	0.00		A			 - - Otros	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Dominican Republic	12- Preferential duties: Free-trade area	
