QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01013000'	  	'14'	'000'	0.00		A			 Live asses	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for El Salvador	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01013000'	  	'16'	'000'	0.00		A			 Live asses	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for New Zealand	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01013000'	  	'17'	'000'	0.00		A			 Live asses	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Singapore	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'02'	'000'	2.50		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'10'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'11'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Guatemala	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'12'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Honduras	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'13'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Nicaragua	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'14'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for El Salvador	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'16'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for New Zealand	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	'17'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Singapore	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'02'	'000'	2.50		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'10'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'11'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Guatemala	11- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'12'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Honduras	12- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'13'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Nicaragua	13- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'14'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for El Salvador	14- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'16'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for New Zealand	16- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	'17'	'000'	0.00		A			 Live cattle, pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Singapore	17- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022900'	  	'02'	'000'	5.00		A			 Other live cattle	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022900'	  	'10'	'000'	0.00		A			 Other live cattle	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Panama	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022900'	  	'11'	'000'	0.00		A			 Other live cattle	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Guatemala	11- Preferential duties: Free-trade area	
