COUNTRY;YEAR;IMPORTS;NOMENCLATURE;DATA_CONSULTA
Albania;2023;No;HS 2022;2024-07-06
Algeria;2017;No;HS 2017;2024-07-06
Angola;2023;No;HS 2017;2024-07-06
Antigua and Barbuda;2016 Rev.1  ;Yes;HS 2007;2024-07-06
Argentina;2023;No;HS 2017;2024-07-06
Armenia;2018 Rev.1  ;Yes;HS 2017;2024-07-06
Australia;2023;No;HS 2022;2024-07-06
Bahamas;2002;No;HS 1996;2024-07-06
Bahrain, Kingdom of;2023;No;HS 2022;2024-07-06
Bangladesh;2018 Rev.2  ;Yes;HS 2017;2024-07-06
Barbados;2022;No;HS 2017;2024-07-06
Belarus;2001 Rev.2  ;No;HS 1996;2024-07-06
Belize;2023;No;HS 2022;2024-07-06
Benin;2023;No;HS 2022;2024-07-06
Bhutan;2012;No;HS 2012;2024-07-06
Bolivia, Plurinational State of;2023;No;HS 2022;2024-07-06
Botswana;2023;No;HS 2022;2024-07-06
Brazil;2023 Rev.1  ;No;HS 2022;2024-07-06
Brunei Darussalam;2023;No;HS 2022;2024-07-06
Bulgaria;2006;No;HS 2002;2024-07-06
Burkina Faso;2023;No;HS 2022;2024-07-06
Burundi;2023 Rev.1  ;No;HS 2022;2024-07-06
Cabo Verde;2023;No;HS 2017;2024-07-06
Cambodia;2023;No;HS 2022;2024-07-06
Cameroon;2023;No;HS 2022;2024-07-06
Canada;2024;No;HS 2022;2024-07-06
Central African Republic;2023;No;HS 2022;2024-07-06
Chad;2023;No;HS 2022;2024-07-06
Chile;2023;No;HS 2022;2024-07-06
China;2024;No;HS 2022;2024-07-06
Chinese Taipei;2024;No;HS 2022;2024-07-06
Colombia;2024;No;HS 2022;2024-07-06
Comoros;2019;No;HS 2017;2024-07-06
Congo;2023;No;HS 2022;2024-07-06
Costa Rica;2023;No;HS 2022;2024-07-06
Croatia;2013;No;HS 2012;2024-07-06
Cuba;2022;No;HS 2017;2024-07-06
Cyprus;2002;No;HS 2002;2024-07-06
Czech Republic;2003;No;HS 2002;2024-07-06
Côte d'Ivoire;2023;No;HS 2017;2024-07-06
Democratic Republic of the Congo;2019;No;HS 2012;2024-07-06
Djibouti;2014;No;HS 2007;2024-07-06
Dominica;2016 Rev.1  ;No;HS 2007;2024-07-06
Dominican Republic;2024;No;HS 2022;2024-07-06
Ecuador;2024;No;HS 2022;2024-07-06
Egypt;2019 Rev.1  ;Yes;HS 2017;2024-07-06
El Salvador;2023;No;HS 2022;2024-07-06
Equatorial Guinea;2013;No;HS 2012;2024-07-06
Estonia;2003 Rev.1  ;Yes;HS 2002;2024-07-06
